criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,50,sqrt,50,100,best,0.5333333333333334,0.10921280896361633,441
gini,50,sqrt,50,100,random,0.5,0.0,513
gini,50,sqrt,100,2,best,0.5,0.0,513
gini,50,sqrt,100,2,random,0.5,0.0,513
gini,50,sqrt,100,5,best,0.5,0.0,513
gini,50,sqrt,100,5,random,0.5,0.0,513
gini,50,sqrt,100,10,best,0.5,0.0,513
gini,50,sqrt,100,10,random,0.5,0.0,513
gini,50,sqrt,100,100,best,0.5,0.0,513
gini,50,sqrt,100,100,random,0.5,0.0,513
gini,50,log2,1,2,best,0.6476190476190476,0.1120819266279983,213
gini,50,log2,1,2,random,0.6190476190476191,0.06563832739090582,354
gini,50,log2,1,5,best,0.6523809523809524,0.07766431633476231,208
gini,50,log2,1,5,random,0.6,0.0920908552657796,368
gini,50,log2,1,10,best,0.6666666666666667,0.04259177099999599,113
gini,50,log2,1,10,random,0.6380952380952382,0.09689042833036096,255
gini,50,log2,1,100,best,0.6571428571428571,0.0761904761904762,170
gini,50,log2,1,100,random,0.5619047619047619,0.07468755781599107,381
gini,50,log2,5,2,best,0.6380952380952382,0.0920908552657796,255
gini,50,log2,5,2,random,0.5,0.0,513
gini,50,log2,5,5,best,0.6380952380952382,0.0920908552657796,255
gini,50,log2,5,5,random,0.5,0.0,513
gini,50,log2,5,10,best,0.6380952380952382,0.0920908552657796,255
gini,50,log2,5,10,random,0.5,0.0,513
gini,50,log2,5,100,best,0.6571428571428571,0.0761904761904762,170
gini,50,log2,5,100,random,0.5,0.0,513
gini,50,log2,10,2,best,0.6333333333333334,0.09712418121129114,299
gini,50,log2,10,2,random,0.5,0.0,513
gini,50,log2,10,5,best,0.6333333333333334,0.09712418121129114,299
gini,50,log2,10,5,random,0.5,0.0,513
gini,50,log2,10,10,best,0.6333333333333334,0.09712418121129114,299
gini,50,log2,10,10,random,0.5,0.0,513
gini,50,log2,10,100,best,0.6666666666666667,0.06734350297014738,113
gini,50,log2,10,100,random,0.5,0.0,513
gini,50,log2,50,2,best,0.5333333333333334,0.10921280896361633,441
gini,50,log2,50,2,random,0.5,0.0,513
gini,50,log2,50,5,best,0.5333333333333334,0.10921280896361633,441
gini,50,log2,50,5,random,0.5,0.0,513
gini,50,log2,50,10,best,0.5333333333333334,0.10921280896361633,441
gini,50,log2,50,10,random,0.5,0.0,513
gini,50,log2,50,100,best,0.5333333333333334,0.10921280896361633,441
gini,50,log2,50,100,random,0.5,0.0,513
gini,50,log2,100,2,best,0.5,0.0,513
gini,50,log2,100,2,random,0.5,0.0,513
gini,50,log2,100,5,best,0.5,0.0,513
gini,50,log2,100,5,random,0.5,0.0,513
gini,50,log2,100,10,best,0.5,0.0,513
gini,50,log2,100,10,random,0.5,0.0,513
gini,50,log2,100,100,best,0.5,0.0,513
gini,50,log2,100,100,random,0.5,0.0,513
gini,50,,1,2,best,0.6476190476190476,0.07882354932022306,213
gini,50,,1,2,random,0.6571428571428571,0.06317380553057904,170
gini,50,,1,5,best,0.6571428571428571,0.06666666666666667,170
