criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_test_score,std_test_score,rank_test_score
gini,100,,100,10,25,0.5,0.0,3197
gini,100,,100,10,50,0.5,0.0,3197
gini,100,,100,10,75,0.5,0.0,3197
gini,100,,100,10,100,0.5,0.0,3197
gini,100,,100,100,1,0.5,0.0,3197
gini,100,,100,100,5,0.5,0.0,3197
gini,100,,100,100,10,0.5,0.0,3197
gini,100,,100,100,25,0.5,0.0,3197
gini,100,,100,100,50,0.5,0.0,3197
gini,100,,100,100,75,0.5,0.0,3197
gini,100,,100,100,100,0.5,0.0,3197
entropy,1,sqrt,1,2,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,1,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,1,2,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,1,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,1,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,1,2,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,1,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,1,5,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,1,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,1,5,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,1,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,1,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,1,5,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,1,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,1,10,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,1,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,1,10,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,1,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,1,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,1,10,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,1,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,1,100,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,1,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,1,100,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,1,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,1,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,1,100,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,1,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,sqrt,2,2,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,2,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,2,2,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,2,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,2,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,2,2,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,2,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,2,5,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,2,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,2,5,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,2,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,2,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,2,5,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,2,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,2,10,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,2,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,2,10,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,2,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,2,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,2,10,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,2,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,2,100,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,sqrt,2,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,2,100,10,0.7095238095238096,0.11605769149479943,644
entropy,1,sqrt,2,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,2,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,2,100,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,2,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,sqrt,5,2,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,sqrt,5,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,5,2,10,0.7047619047619048,0.11625291062603527,945
entropy,1,sqrt,5,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,5,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,5,2,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,5,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,5,5,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,sqrt,5,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,5,5,10,0.7047619047619048,0.11625291062603527,945
entropy,1,sqrt,5,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,5,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,5,5,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,5,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,5,10,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,sqrt,5,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,5,10,10,0.7047619047619048,0.11625291062603527,945
entropy,1,sqrt,5,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,5,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,sqrt,5,10,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,5,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,sqrt,5,100,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,sqrt,5,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,sqrt,5,100,10,0.7047619047619048,0.11625291062603527,945
entropy,1,sqrt,5,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,sqrt,5,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,5,100,75,0.6952380952380952,0.10583862271853745,1804
entropy,1,sqrt,5,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,sqrt,10,2,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,sqrt,10,2,5,0.7142857142857142,0.10101525445522105,391
entropy,1,sqrt,10,2,10,0.7142857142857143,0.12325884862423604,330
entropy,1,sqrt,10,2,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,sqrt,10,2,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,10,2,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,10,2,100,0.7047619047619047,0.10605265453009564,990
entropy,1,sqrt,10,5,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,sqrt,10,5,5,0.7142857142857142,0.10101525445522105,391
entropy,1,sqrt,10,5,10,0.7142857142857143,0.12325884862423604,330
entropy,1,sqrt,10,5,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,sqrt,10,5,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,10,5,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,10,5,100,0.7047619047619047,0.10605265453009564,990
entropy,1,sqrt,10,10,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,sqrt,10,10,5,0.7142857142857142,0.10101525445522105,391
entropy,1,sqrt,10,10,10,0.7142857142857143,0.12325884862423604,330
entropy,1,sqrt,10,10,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,sqrt,10,10,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,10,10,75,0.7,0.10711639884954276,1430
entropy,1,sqrt,10,10,100,0.7047619047619047,0.10605265453009564,990
entropy,1,sqrt,10,100,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,sqrt,10,100,5,0.7142857142857142,0.10101525445522105,391
entropy,1,sqrt,10,100,10,0.7142857142857143,0.12325884862423604,330
entropy,1,sqrt,10,100,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,sqrt,10,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,sqrt,10,100,75,0.6952380952380952,0.11408712905438988,1804
entropy,1,sqrt,10,100,100,0.6952380952380952,0.11004019055515565,1804
entropy,1,sqrt,50,2,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,sqrt,50,2,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,sqrt,50,2,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,sqrt,50,2,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,sqrt,50,2,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,sqrt,50,2,75,0.638095238095238,0.11208192662799826,2694
entropy,1,sqrt,50,2,100,0.638095238095238,0.11308897225750397,2694
entropy,1,sqrt,50,5,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,sqrt,50,5,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,sqrt,50,5,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,sqrt,50,5,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,sqrt,50,5,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,sqrt,50,5,75,0.638095238095238,0.11208192662799826,2694
entropy,1,sqrt,50,5,100,0.638095238095238,0.11308897225750397,2694
entropy,1,sqrt,50,10,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,sqrt,50,10,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,sqrt,50,10,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,sqrt,50,10,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,sqrt,50,10,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,sqrt,50,10,75,0.638095238095238,0.11208192662799826,2694
entropy,1,sqrt,50,10,100,0.638095238095238,0.11308897225750397,2694
entropy,1,sqrt,50,100,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,sqrt,50,100,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,sqrt,50,100,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,sqrt,50,100,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,sqrt,50,100,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,sqrt,50,100,75,0.638095238095238,0.11208192662799826,2694
entropy,1,sqrt,50,100,100,0.638095238095238,0.11308897225750397,2694
entropy,1,sqrt,100,2,1,0.5,0.0,3197
entropy,1,sqrt,100,2,5,0.5,0.0,3197
entropy,1,sqrt,100,2,10,0.5,0.0,3197
entropy,1,sqrt,100,2,25,0.5,0.0,3197
entropy,1,sqrt,100,2,50,0.5,0.0,3197
entropy,1,sqrt,100,2,75,0.5,0.0,3197
entropy,1,sqrt,100,2,100,0.5,0.0,3197
entropy,1,sqrt,100,5,1,0.5,0.0,3197
entropy,1,sqrt,100,5,5,0.5,0.0,3197
entropy,1,sqrt,100,5,10,0.5,0.0,3197
entropy,1,sqrt,100,5,25,0.5,0.0,3197
entropy,1,sqrt,100,5,50,0.5,0.0,3197
entropy,1,sqrt,100,5,75,0.5,0.0,3197
entropy,1,sqrt,100,5,100,0.5,0.0,3197
entropy,1,sqrt,100,10,1,0.5,0.0,3197
entropy,1,sqrt,100,10,5,0.5,0.0,3197
entropy,1,sqrt,100,10,10,0.5,0.0,3197
entropy,1,sqrt,100,10,25,0.5,0.0,3197
entropy,1,sqrt,100,10,50,0.5,0.0,3197
entropy,1,sqrt,100,10,75,0.5,0.0,3197
entropy,1,sqrt,100,10,100,0.5,0.0,3197
entropy,1,sqrt,100,100,1,0.5,0.0,3197
entropy,1,sqrt,100,100,5,0.5,0.0,3197
entropy,1,sqrt,100,100,10,0.5,0.0,3197
entropy,1,sqrt,100,100,25,0.5,0.0,3197
entropy,1,sqrt,100,100,50,0.5,0.0,3197
entropy,1,sqrt,100,100,75,0.5,0.0,3197
entropy,1,sqrt,100,100,100,0.5,0.0,3197
entropy,1,log2,1,2,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,1,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,1,2,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,1,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,1,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,1,2,75,0.7,0.10711639884954276,1430
entropy,1,log2,1,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,1,5,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,1,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,1,5,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,1,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,1,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,1,5,75,0.7,0.10711639884954276,1430
entropy,1,log2,1,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,1,10,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,1,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,1,10,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,1,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,1,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,1,10,75,0.7,0.10711639884954276,1430
entropy,1,log2,1,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,1,100,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,1,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,1,100,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,1,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,1,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,1,100,75,0.7,0.10711639884954276,1430
entropy,1,log2,1,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,log2,2,2,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,2,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,2,2,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,2,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,2,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,2,2,75,0.7,0.10711639884954276,1430
entropy,1,log2,2,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,2,5,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,2,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,2,5,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,2,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,2,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,2,5,75,0.7,0.10711639884954276,1430
entropy,1,log2,2,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,2,10,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,2,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,2,10,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,2,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,2,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,2,10,75,0.7,0.10711639884954276,1430
entropy,1,log2,2,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,2,100,1,0.4809523809523809,0.046168379594441235,3937
entropy,1,log2,2,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,2,100,10,0.7095238095238096,0.11605769149479943,644
entropy,1,log2,2,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,2,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,2,100,75,0.7,0.10711639884954276,1430
entropy,1,log2,2,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,log2,5,2,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,log2,5,2,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,5,2,10,0.7047619047619048,0.11625291062603527,945
entropy,1,log2,5,2,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,5,2,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,5,2,75,0.7,0.10711639884954276,1430
entropy,1,log2,5,2,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,5,5,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,log2,5,5,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,5,5,10,0.7047619047619048,0.11625291062603527,945
entropy,1,log2,5,5,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,5,5,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,5,5,75,0.7,0.10711639884954276,1430
entropy,1,log2,5,5,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,5,10,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,log2,5,10,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,5,10,10,0.7047619047619048,0.11625291062603527,945
entropy,1,log2,5,10,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,5,10,50,0.7095238095238094,0.10257456775494293,779
entropy,1,log2,5,10,75,0.7,0.10711639884954276,1430
entropy,1,log2,5,10,100,0.7095238095238094,0.11208192662799826,779
entropy,1,log2,5,100,1,0.4999999999999999,0.04994327848429294,3869
entropy,1,log2,5,100,5,0.6904761904761905,0.07529232524210427,1954
entropy,1,log2,5,100,10,0.7047619047619048,0.11625291062603527,945
entropy,1,log2,5,100,25,0.7047619047619047,0.10711639884954278,990
entropy,1,log2,5,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,5,100,75,0.6952380952380952,0.10583862271853745,1804
entropy,1,log2,5,100,100,0.7047619047619047,0.11625291062603524,990
entropy,1,log2,10,2,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,log2,10,2,5,0.7142857142857142,0.10101525445522105,391
entropy,1,log2,10,2,10,0.7142857142857143,0.12325884862423604,330
entropy,1,log2,10,2,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,log2,10,2,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,10,2,75,0.7,0.10711639884954276,1430
entropy,1,log2,10,2,100,0.7047619047619047,0.10605265453009564,990
entropy,1,log2,10,5,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,log2,10,5,5,0.7142857142857142,0.10101525445522105,391
entropy,1,log2,10,5,10,0.7142857142857143,0.12325884862423604,330
entropy,1,log2,10,5,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,log2,10,5,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,10,5,75,0.7,0.10711639884954276,1430
entropy,1,log2,10,5,100,0.7047619047619047,0.10605265453009564,990
entropy,1,log2,10,10,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,log2,10,10,5,0.7142857142857142,0.10101525445522105,391
entropy,1,log2,10,10,10,0.7142857142857143,0.12325884862423604,330
entropy,1,log2,10,10,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,log2,10,10,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,10,10,75,0.7,0.10711639884954276,1430
entropy,1,log2,10,10,100,0.7047619047619047,0.10605265453009564,990
entropy,1,log2,10,100,1,0.49523809523809526,0.06632565846278153,3897
entropy,1,log2,10,100,5,0.7142857142857142,0.10101525445522105,391
entropy,1,log2,10,100,10,0.7142857142857143,0.12325884862423604,330
entropy,1,log2,10,100,25,0.6952380952380953,0.11895234282663614,1793
entropy,1,log2,10,100,50,0.7142857142857142,0.10540925533894598,391
entropy,1,log2,10,100,75,0.6952380952380952,0.11408712905438988,1804
entropy,1,log2,10,100,100,0.6952380952380952,0.11004019055515565,1804
entropy,1,log2,50,2,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,log2,50,2,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,log2,50,2,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,log2,50,2,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,log2,50,2,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,log2,50,2,75,0.638095238095238,0.11208192662799826,2694
entropy,1,log2,50,2,100,0.638095238095238,0.11308897225750397,2694
entropy,1,log2,50,5,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,log2,50,5,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,log2,50,5,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,log2,50,5,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,log2,50,5,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,log2,50,5,75,0.638095238095238,0.11208192662799826,2694
entropy,1,log2,50,5,100,0.638095238095238,0.11308897225750397,2694
entropy,1,log2,50,10,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,log2,50,10,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,log2,50,10,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,log2,50,10,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,log2,50,10,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,log2,50,10,75,0.638095238095238,0.11208192662799826,2694
entropy,1,log2,50,10,100,0.638095238095238,0.11308897225750397,2694
entropy,1,log2,50,100,1,0.42857142857142855,0.06023386019368342,3969
entropy,1,log2,50,100,5,0.6904761904761905,0.10753895038701154,1954
entropy,1,log2,50,100,10,0.6476190476190475,0.11208192662799826,2542
entropy,1,log2,50,100,25,0.6428571428571428,0.11761037176408064,2623
entropy,1,log2,50,100,50,0.6523809523809524,0.10711639884954276,2438
entropy,1,log2,50,100,75,0.638095238095238,0.11208192662799826,2694
entropy,1,log2,50,100,100,0.638095238095238,0.11308897225750397,2694
entropy,1,log2,100,2,1,0.5,0.0,3197
entropy,1,log2,100,2,5,0.5,0.0,3197
entropy,1,log2,100,2,10,0.5,0.0,3197
entropy,1,log2,100,2,25,0.5,0.0,3197
entropy,1,log2,100,2,50,0.5,0.0,3197
entropy,1,log2,100,2,75,0.5,0.0,3197
entropy,1,log2,100,2,100,0.5,0.0,3197
entropy,1,log2,100,5,1,0.5,0.0,3197
entropy,1,log2,100,5,5,0.5,0.0,3197
entropy,1,log2,100,5,10,0.5,0.0,3197
entropy,1,log2,100,5,25,0.5,0.0,3197
entropy,1,log2,100,5,50,0.5,0.0,3197
entropy,1,log2,100,5,75,0.5,0.0,3197
entropy,1,log2,100,5,100,0.5,0.0,3197
entropy,1,log2,100,10,1,0.5,0.0,3197
entropy,1,log2,100,10,5,0.5,0.0,3197
entropy,1,log2,100,10,10,0.5,0.0,3197
entropy,1,log2,100,10,25,0.5,0.0,3197
entropy,1,log2,100,10,50,0.5,0.0,3197
entropy,1,log2,100,10,75,0.5,0.0,3197
entropy,1,log2,100,10,100,0.5,0.0,3197
entropy,1,log2,100,100,1,0.5,0.0,3197
entropy,1,log2,100,100,5,0.5,0.0,3197
entropy,1,log2,100,100,10,0.5,0.0,3197
entropy,1,log2,100,100,25,0.5,0.0,3197
entropy,1,log2,100,100,50,0.5,0.0,3197
entropy,1,log2,100,100,75,0.5,0.0,3197
entropy,1,log2,100,100,100,0.5,0.0,3197
entropy,1,,1,2,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,2,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,2,10,0.7,0.10279539592820433,1430
entropy,1,,1,2,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,2,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,1,2,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,2,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,5,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,5,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,5,10,0.7,0.10279539592820433,1430
entropy,1,,1,5,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,5,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,1,5,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,5,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,10,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,10,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,10,10,0.7,0.10279539592820433,1430
entropy,1,,1,10,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,10,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,1,10,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,10,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,100,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,100,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,1,100,10,0.7,0.10279539592820433,1430
entropy,1,,1,100,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,100,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,1,100,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,1,100,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,2,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,2,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,2,10,0.7,0.10279539592820433,1430
entropy,1,,2,2,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,2,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,2,2,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,2,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,5,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,5,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,5,10,0.7,0.10279539592820433,1430
entropy,1,,2,5,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,5,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,2,5,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,5,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,10,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,10,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,10,10,0.7,0.10279539592820433,1430
entropy,1,,2,10,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,10,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,2,10,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,10,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,100,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,100,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,2,100,10,0.7,0.10279539592820433,1430
entropy,1,,2,100,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,100,50,0.7095238095238094,0.09452111067275815,779
entropy,1,,2,100,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,2,100,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,5,2,1,0.7142857142857142,0.10101525445522105,391
entropy,1,,5,2,5,0.7142857142857142,0.10101525445522105,391
entropy,1,,5,2,10,0.7,0.10279539592820433,1430
entropy,1,,5,2,25,0.7047619047619047,0.10921280896361632,990
entropy,1,,5,2,50,0.7142857142857142,0.10101525445522105,391
entropy,1,,5,2,75,0.7047619047619047,0.10921280896361632,990
entropy,1,,5,2,100,0.7047619047619047,0.10921280896361632,990
entropy,1,,5,5,1,0.7142857142857142,0.10101525445522105,391
